#               time [ns]                      <n>
   1.0130065032516258E+01   1.1067604094606262E-02
   1.0155077538769385E+01   1.1194907993459062E-02
   1.0180090045022512E+01   1.1323261850283293E-02
   1.0205102551275639E+01   1.1452677115975305E-02
   1.0230115057528764E+01   1.1583165555738064E-02
   1.0255127563781892E+01   1.1714739239424354E-02
   1.0280140070035019E+01   1.1847410531049660E-02
   1.0305152576288144E+01   1.1981192077492134E-02
   1.0330165082541273E+01   1.2116096796398990E-02
   1.0355177588794398E+01   1.2252137863321098E-02
   1.0380190095047524E+01   1.2389328698099287E-02
   1.0405202601300651E+01   1.2527682950528208E-02
   1.0430215107553778E+01   1.2667214485325862E-02
   1.0455227613806905E+01   1.2807937366438217E-02
   1.0480240120060031E+01   1.2949865840711165E-02
   1.0505252626313156E+01   1.3093014320963098E-02
   1.0530265132566285E+01   1.3237397368493824E-02
   1.0555277638819410E+01   1.3383029675066849E-02
   1.0580290145072537E+01   1.3529926044404067E-02
   1.0605302651325664E+01   1.3678101373233068E-02
   1.0630315157578790E+01   1.3827570631929118E-02
   1.0655327663831917E+01   1.3978348844795114E-02
   1.0680340170085044E+01   1.4130451070023961E-02
   1.0705352676338169E+01   1.4283892379389511E-02
   1.0730365182591298E+01   1.4438687837712412E-02
   1.0755377688844423E+01   1.4594852482149336E-02
   1.0780390195097549E+01   1.4752401301353864E-02
   1.0805402701350676E+01   1.4911349214558814E-02
   1.0830415207603803E+01   1.5071711050629967E-02
   1.0855427713856928E+01   1.5233501527142050E-02
   1.0880440220110057E+01   1.5396735229527884E-02
   1.0905452726363182E+01   1.5561426590352059E-02
   1.0930465232616310E+01   1.5727589868760779E-02
   1.0955477738869435E+01   1.5895239130159226E-02
   1.0980490245122562E+01   1.6064388226167851E-02
   1.1005502751375689E+01   1.6235050774908926E-02
   1.1030515257628815E+01   1.6407240141674034E-02
   1.1055527763881940E+01   1.6580969420022896E-02
   1.1080540270135069E+01   1.6756251413363055E-02
   1.1105552776388194E+01   1.6933098617059720E-02
   1.1130565282641321E+01   1.7111523201123500E-02
   1.1155577788894448E+01   1.7291536993523114E-02
   1.1180590295147574E+01   1.7473151464169383E-02
   1.1205602801400701E+01   1.7656377709614680E-02
   1.1230615307653828E+01   1.7841226438511482E-02
   1.1255627813906953E+01   1.8027707957871623E-02
   1.1280640320160082E+01   1.8215832160166767E-02
   1.1305652826413207E+01   1.8405608511308104E-02
   1.1330665332666333E+01   1.8597046039542504E-02
   1.1355677838919460E+01   1.8790153325299253E-02
   1.1380690345172587E+01   1.8984938492020497E-02
   1.1405702851425714E+01   1.9181409198005855E-02
   1.1430715357678841E+01   1.9379572629299319E-02
   1.1455727863931966E+01   1.9579435493644753E-02
   1.1480740370185094E+01   1.9781004015533302E-02
   1.1505752876438219E+01   1.9984283932364250E-02
   1.1530765382691346E+01   2.0189280491737623E-02
   1.1555777888944474E+01   2.0395998449894637E-02
   1.1580790395197599E+01   2.0604442071319371E-02
   1.1605802901450726E+01   2.0814615129512447E-02
   1.1630815407703853E+01   2.1026520908944114E-02
   1.1655827913956980E+01   2.1240162208192491E-02
   1.1680840420210107E+01   2.1455541344268473E-02
